,train_macro_f1-score,train_macro_f1-score,train_macro_recall,train_macro_recall,train_micro_accuracy,train_micro_accuracy,train_macro_precision,train_macro_precision,train_weighted_precision,train_weighted_precision,train_weighted_recall,train_weighted_recall,train_weighted_f1-score,train_weighted_f1-score,train_balanced_accuracy,train_balanced_accuracy,train_macro_ovr_roc_auc_score,train_macro_ovr_roc_auc_score,test_macro_f1-score,test_macro_f1-score,test_macro_recall,test_macro_recall,test_micro_accuracy,test_micro_accuracy,test_macro_precision,test_macro_precision,test_weighted_precision,test_weighted_precision,test_weighted_recall,test_weighted_recall,test_weighted_f1-score,test_weighted_f1-score,test_balanced_accuracy,test_balanced_accuracy,test_macro_ovr_roc_auc_score,test_macro_ovr_roc_auc_score
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rf3_30_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.608974359,0.0,0.673076923,0.0,0.657142857,0.0,0.782051282,0.0,0.78,0.0,0.657142857,0.0,0.600190476,0.0,0.673076923,0.0,-1.0,0.0
rf3_45_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.666025641,0.0,0.727564103,0.0,0.714285714,0.0,0.80982906,0.0,0.80952381,0.0,0.714285714,0.0,0.662666667,0.0,0.727564103,0.0,-1.0,0.0
rf5_15_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.695299145,0.0,0.740384615,0.0,0.731428571,0.0,0.842948718,0.0,0.843809524,0.0,0.731428571,0.0,0.692952381,0.0,0.740384615,0.0,-1.0,0.0
rf5_30_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.739133089,0.0,0.782051282,0.0,0.777142857,0.0,0.87008547,0.0,0.875047619,0.0,0.777142857,0.0,0.738721088,0.0,0.782051282,0.0,-1.0,0.0
rf5_45_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.783974359,0.0,0.826923077,0.0,0.817142857,0.0,0.894230769,0.0,0.900952381,0.0,0.817142857,0.0,0.78247619,0.0,0.826923077,0.0,-1.0,0.0
rf8_15_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.719230769,0.0,0.772435897,0.0,0.771428571,0.0,0.8691239320000002,0.0,0.878571429,0.0,0.771428571,0.0,0.726666667,0.0,0.772435897,0.0,-1.0,0.0
rf8_30_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.8049145299999999,0.0,0.842948718,0.0,0.845714286,0.0,0.907051282,0.0,0.9114285709999999,0.0,0.845714286,0.0,0.811238095,0.0,0.842948718,0.0,-1.0,0.0
rf8_45_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.838247863,0.0,0.875,0.0,0.874285714,0.0,0.927350427,0.0,0.931428571,0.0,0.874285714,0.0,0.842095238,0.0,0.875,0.0,-1.0,0.0
svm10_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,-1.0,,0.812321937,,0.836538462,,0.845714286,,0.921741453,,0.920714286,,0.845714286,,0.821269841,,0.836538462,,-1.0,
svm3_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.751068376,0.0,0.794871795,0.0,0.788571429,0.0,0.857051282,0.0,0.861142857,0.0,0.788571429,0.0,0.75047619,0.0,0.794871795,0.0,-1.0,0.0
svm5_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.913247863,0.0,0.926282051,0.0,0.931428571,0.0,0.946581197,0.0,0.95047619,0.0,0.931428571,0.0,0.919619048,0.0,0.926282051,0.0,-1.0,0.0
svm8_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.850641026,0.0,0.878205128,0.0,0.8857142860000001,0.0,0.935897436,0.0,0.935238095,0.0,0.8857142860000001,0.0,0.8584761899999999,0.0,0.878205128,0.0,-1.0,0.0
xgb3_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.634401709,0.0,0.689102564,0.0,0.691428571,0.0,0.800213675,0.0,0.797142857,0.0,0.691428571,0.0,0.644380952,0.0,0.689102564,0.0,-1.0,0.0
xgb5_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.712606838,0.0,0.759615385,0.0,0.76,0.0,0.86965812,0.0,0.864285714,0.0,0.76,0.0,0.718666667,0.0,0.759615385,0.0,-1.0,0.0
